"city","year","population","pop_adj","pop_ratio"
"Sacramento",2017,1857532,2417090.72100453,0.977086853240138
"Sacramento",2018,1882246,2449249.51023611,0.990086750141497
"Sacramento",2019,1882358,2449395.24886174,0.990145663650155
"Sacramento",2020,1901092,2473772.63647461,1
"Sacramento",2021,1919826,2498150.02408747,1.00985433634985
"Sacramento",2022,1957738,2547482.54886483,1.02979655903028
"Sacramento",2023,1962998,2554327.05931874,1.03256338988329
"Sacramento",2024,1975489,2570580.8197902,1.03913382413897
"SanAntonio",2015,1955640,2028411.66625516,0.969746857412045
"SanAntonio",2016,1979043,2052685.51943129,0.98135174670865
"SanAntonio",2017,2014489,2089450.50681244,0.99892842089604
"SanAntonio",2018,2045263,2121369.64357449,1.01418838172216
"SanAntonio",2019,2036324,2112098.01286299,1.00975578310565
"SanAntonio",2020,2016650,2091691.92016602,1
"SanAntonio",2021,1996976,2071285.82746904,0.990244216894354
"SanAntonio",2022,2058444,2135041.12409898,1.02072446879726
"SanAntonio",2023,2069843,2146864.294306,1.02637691220589
"SanAntonio",2024,2096390,2174399.13942272,1.03954082265143
"SanDiego",2015,3148509,5145452.79707135,0.999613299819318
"SanDiego",2016,3172773,5185106.25420555,1.00731682460099
"SanDiego",2017,3191338,5215446.11703511,1.01321098622198
"SanDiego",2018,3189835,5212989.83834764,1.01273380200887
"SanDiego",2019,3178495,5194457.43627454,1.00913348998183
"SanDiego",2020,3149727,5147443.31433105,1
"SanDiego",2021,3120959,5100429.19238757,0.99086651001817
"SanDiego",2022,3046560,4978842.58023264,0.967245732725408
"SanDiego",2023,3057778,4997175.60372965,0.970807311236815
"SanDiego",2024,3064435,5008054.81013183,0.972920827741579
"Baltimore",2015,2288444,2293676.93157426,1.00145090308926
"Baltimore",2016,2292343,2297584.84732671,1.00315715286908
"Baltimore",2017,2277839,2283047.68136785,0.996810026219532
"Baltimore",2018,2278976,2284187.28131926,0.997307591236117
"Baltimore",2019,2270087,2275277.95505007,0.993417656818862
"Baltimore",2020,2285128.5,2290353.85009766,1
"Baltimore",2021,2300170,2305429.74514524,1.00658234318114
"Baltimore",2022,2196524,2201546.74025198,0.961225594096787
"Baltimore",2023,2189589,2194595.88214907,0.958190753824129
"Baltimore",2024,2201673,2206707.51435031,0.96347885906635
"Portland",2015,1994795,2168122.17176867,0.96023612201884
"Portland",2016,2028282,2204518.8477008,0.976355786955861
"Portland",2017,2053772,2232223.6665711,0.988625929376642
"Portland",2018,2075505,2255845.04077699,0.999087561594406
"Portland",2019,2072553,2252636.54233427,0.997666554908406
"Portland",2020,2077400.5,2257905.24023438,1
"Portland",2021,2082248,2263173.93813448,1.00233344509159
"Portland",2022,2095808,2277912.16268848,1.00886083352729
"Portland",2023,2084045,2265127.0789548,1.00319846847057
"Portland",2024,2115140,2298923.91468537,1.0181666943856
"Minneapolis",2015,2800839,2014883.87601089,0.969681600021604
"Minneapolis",2016,2811122,2022281.32045415,0.973241688942467
"Minneapolis",2017,2854190,2053263.8291853,0.988152309349327
"Minneapolis",2018,2877365,2069935.59569046,0.996175751996513
"Minneapolis",2019,2885614,2075869.80936473,0.999031647504458
"Minneapolis",2020,2888411,2077881.93151855,1
"Minneapolis",2021,2891208,2079894.05367238,1.00096835249554
"Minneapolis",2022,2892569,2080873.13778084,1.00143954582641
"Minneapolis",2023,2906807,2091115.75316382,1.00636889971683
"Minneapolis",2024,2937866,2113459.15751695,1.01712187081409
"Austin",2015,1582181,1559608.41456142,0.947680201110432
"Austin",2016,1607497,1584563.2374439,0.962843745591949
"Austin",2017,1648769,1625246.42001643,0.987564467974679
"Austin",2018,1666878,1643097.06338738,0.998411229983519
"Austin",2019,1685522,1661475.0740455,1.0095784413642
"Austin",2020,1669530.5,1645711.7208252,1
"Austin",2021,1653539,1629948.36760489,0.990421558635796
"Austin",2022,1905945,1878753.35356148,1.14160537947645
"Austin",2023,1915031,1887709.72584424,1.1470476280607
"Austin",2024,1940039,1912360.94288663,1.16202668953936
"Atlanta",2015,4912204,1601835.12590597,0.946741543257613
"Atlanta",2016,4970669,1620900.15061506,0.958009651081832
"Atlanta",2017,5057220,1649123.82210392,0.974690844963537
"Atlanta",2018,5098403,1662553.30833662,0.982628149068981
"Atlanta",2019,5151496,1679866.56168272,0.992860897699978
"Atlanta",2020,5188537.5,1691945.53393555,1
"Atlanta",2021,5225579,1704024.50618838,1.00713910230002
"Atlanta",2022,5180179,1689219.8859576,0.99838904508255
"Atlanta",2023,5211164,1699323.87621863,1.00436086276721
"Atlanta",2024,5298788,1727897.44544995,1.021248858662
"Orlando",2015,1687468,1367497.70160893,0.949547542566562
"Orlando",2016,1718406,1392569.37342278,0.966956525653604
"Orlando",2017,1761605,1427577.16806648,0.991264841006151
"Orlando",2018,1781809,1443950.1739921,1.00263374314238
"Orlando",2019,1792047,1452246.88923001,1.00839472215993
"Orlando",2020,1777128.5,1440157.16992188,1
"Orlando",2021,1762210,1428067.45061374,0.991605277840066
"Orlando",2022,1882705,1525714.71595766,1.0594084783402
"Orlando",2023,1913597,1550749.11009023,1.07679157697375
"Orlando",2024,1948155,1578754.37334394,1.09623755400918
"SaltLakeCity",2015,1094349,3332209.89837795,0.956976464050279
"SaltLakeCity",2016,1102282,3356365.2831079,0.963913642490896
"SaltLakeCity",2017,1115742,3397349.96462373,0.975684022146853
"SaltLakeCity",2018,1129243,3438459.48803719,0.987490255113797
"SaltLakeCity",2019,1135747,3458263.67589595,0.993177814495844
"SaltLakeCity",2020,1143548.5,3482018.65307617,1
"SaltLakeCity",2021,1151350,3505773.63025639,1.00682218550416
"SaltLakeCity",2022,1173879,3574372.73054392,1.02652314265639
"SaltLakeCity",2023,1169033,3559617.02722849,1.02228545619185
"SaltLakeCity",2024,1183003,3602154.62015391,1.03450181605765
"Miami",2015,5949146,7095164.98449622,0.985161421998997
"Miami",2016,5992775,7147198.49537468,0.992386258585693
"Miami",2017,6085386,7257649.69700584,1.00772237312259
"Miami",2018,6107242,7283715.94683416,1.01134166369627
"Miami",2019,6076316,7246832.4895597,1.00622040727783
"Miami",2020,6038752.5,7202032.91162109,1
"Miami",2021,6001189,7157233.33368249,0.993779592722172
"Miami",2022,6080145,7251399.09235036,1.00685447863611
"Miami",2023,6113982,7291754.31267616,1.01245778826008
"Miami",2024,6391670,7622934.9853668,1.05844212028892
"SanFrancisco_SanJose",2015,3516017,6761314.72480992,1.00474048901706
"SanFrancisco_SanJose",2016,3529790,6787800.25878339,1.0086762750941
"SanFrancisco_SanJose",2017,3556206,6838598.33222006,1.01622493733262
"SanFrancisco_SanJose",2018,3565427,6856330.35202471,1.01885993939581
"SanFrancisco_SanJose",2019,3557982,6842013.58730878,1.01673244884593
"SanFrancisco_SanJose",2020,3499428,6729414.01159668,1
"SanFrancisco_SanJose",2021,3440874,6616814.43588458,0.983267551154074
"SanFrancisco_SanJose",2022,3364979,6470868.04795772,0.961579721028694
"SanFrancisco_SanJose",2023,3364862,6470643.05649073,0.961546286993189
"SanFrancisco_SanJose",2024,3417736,6572319.9695317,0.976655613431681
"Indianapolis",2015,1579355,9445711.9387612,0.954603946542106
"Indianapolis",2016,1598234,9558622.33299927,0.966014913618393
"Indianapolis",2017,1604134,9593908.70017998,0.969581029713
"Indianapolis",2018,1635163,9779485.08784952,0.988335778238351
"Indianapolis",2019,1636763,9789054.27216971,0.989302860569092
"Indianapolis",2020,1654461,9894901.41223145,1
"Indianapolis",2021,1672159,10000748.5522932,1.01069713943091
"Indianapolis",2022,1729849,10345777.4544381,1.04556650171869
"Indianapolis",2023,1740984,10412372.9965665,1.05229679031419
"Indianapolis",2024,1767321,10569887.751217,1.06821556990464
"Columbus",2015,1477852,3234712.65931172,0.952866122120281
"Columbus",2016,1493961,3269971.93170764,0.963252629267977
"Columbus",2017,1520011,3326989.99899386,0.980048737728928
"Columbus",2018,1543744,3378936.63204199,0.995350927445002
"Columbus",2019,1547862,3387950.08313929,0.998006066586737
"Columbus",2020,1550954.5,3394718.92663574,1
"Columbus",2021,1554047,3401487.7701322,1.00199393341326
"Columbus",2022,1572546,3441978.2586822,1.01392142709538
"Columbus",2023,1578153,3454250.8231073,1.01753662019099
"Columbus",2024,1635039,3578762.52274814,1.05421467876717
"Cleveland",2015,1766653,3410791.60196381,1.00473461151731
"Cleveland",2016,1754347,3387033.00225364,0.997735917303256
"Cleveland",2017,1760589,3399084.13010923,1.00128588067755
"Cleveland",2018,1764967,3407536.52321268,1.00377574604966
"Cleveland",2019,1742437,3364038.94061313,0.990962437042463
"Cleveland",2020,1758328,3394718.92663574,1
"Cleveland",2021,1774219,3425398.91265836,1.00903756295754
"Cleveland",2022,1680247,3243971.71194619,0.95559360938346
"Cleveland",2023,1679247,3242041.06025513,0.955024887279279
"Cleveland",2024,1695555,3273526.12803292,0.964299607354259
