orbit.id,timestr,tot.count,sam.count,qf.count,tot.nf.count,qf.nf.count,site,lat,lon
46594,2023040521,6210,0,5178,5772,4944,LosAngeles,34.0549076,-118.242643
46987,2023050220,107,0,89,54,48,LosAngeles,34.0549076,-118.242643
47220,2023051820,7029,0,1202,6895,1165,LosAngeles,34.0549076,-118.242643
47453,2023060320,420,0,317,142,72,LosAngeles,34.0549076,-118.242643
47992,2023071021,6552,0,5847,6047,5552,LosAngeles,34.0549076,-118.242643
48385,2023080620,394,0,275,122,84,LosAngeles,34.0549076,-118.242643
48618,2023082220,7681,0,6313,7499,6155,LosAngeles,34.0549076,-118.242643
48691,2023082721,6144,0,5213,5735,4972,LosAngeles,34.0549076,-118.242643
48924,2023091221,5907,0,3050,5464,2794,LosAngeles,34.0549076,-118.242643
49754,2023110821,6216,0,5705,5842,5466,LosAngeles,34.0549076,-118.242643
50147,2023120520,367,0,314,250,222,LosAngeles,34.0549076,-118.242643
50948,2024012920,7433,0,5865,7211,5669,LosAngeles,34.0549076,-118.242643
51516,2024030821,6972,0,4920,6851,4881,LosAngeles,34.0549076,-118.242643
51880,2024040220,7487,0,6031,7259,5844,LosAngeles,34.0549076,-118.242643
52113,2024041820,365,0,274,234,193,LosAngeles,34.0549076,-118.242643
52317,2024050221,4575,0,318,4474,312,LosAngeles,34.0549076,-118.242643
52579,2024052020,163,0,71,53,17,LosAngeles,34.0549076,-118.242643
52885,2024061021,7546,0,1334,7502,1312,LosAngeles,34.0549076,-118.242643
53249,2024070521,6449,0,702,5951,504,LosAngeles,34.0549076,-118.242643
53511,2024072320,386,0,238,161,75,LosAngeles,34.0549076,-118.242643
54050,2024082921,5811,0,2770,5444,2540,LosAngeles,34.0549076,-118.242643
54414,2024092321,6285,0,5391,5902,5157,LosAngeles,34.0549076,-118.242643
54443,2024092520,7536,0,270,7356,237,LosAngeles,34.0549076,-118.242643
54647,2024100921,6373,0,1690,5949,1459,LosAngeles,34.0549076,-118.242643
