city ID continent lon lat core_pop
NewYork 14384 Nam -73.8916666666667 40.7416666666666 7904153.44449368
LosAngeles 11648 Nam -118.225 33.9666666666666 4074051.75769043
Chicago 15307 Nam -87.7333333333334 41.8749999999999 2850526.87225533
Dallas_FortWorth 11332 Nam -96.75 32.9499999999999 1530063.12493896
Houston 10599 Nam -95.5000000000001 29.7833333333333 1854848.94360352
Washington 13524 Nam -77.0333333333334 38.9416666666666 1946342.9385376
Phoenix 11524 Nam -112.108333333333 33.5249999999999 1637964.25866699
Philadelphia 14023 Nam -75.1666666666667 39.9833333333333 2029032.33494568
LasVegas 12443 Nam -115.175 36.1333333333333 2112261.79394531
Seattle 18204 Nam -122.258333333333 47.6249999999999 1082296.66628242
Denver 13944 Nam -104.95 39.7916666666666 1335999.28900146
Detroit 15720 Nam -83.0583333333334 42.4416666666666 1163882.11303711
Boston 15747 Nam -71.0916666666667 42.3666666666666 1662806.92562175
Sacramento 13368 Nam -121.4 38.5749999999999 1194540.68029785
SanAntonio 10566 Nam -98.55 29.4666666666666 1233942.44360352
SanDiego 11259 Nam -116.983333333333 32.6083333333333 2400088.42408752
Baltimore 13694 Nam -76.6333333333334 39.2666666666666 1086144.57341766
Portland 17482 Nam -122.716666666667 45.4666666666666 924066.064910889
Minneapolis 17102 Nam -93.2333333333334 45.0166666666666 845562.75189209
Austin 10750 Nam -97.7166666666667 30.3749999999999 880583.091674805
Atlanta 11669 Nam -84.2833333333334 33.8583333333333 737124.729309082
Orlando 10412 Nam -81.3833333333334 28.5666666666666 880716.365127563
SaltLakeCity 12443 Nam -115.175 36.1333333333333 2112261.79394531
SanFrancisco_SanJose 12845 Nam -122.358333333333 37.7999999999999 1551633.38155746
Miami 9828 Nam -80.2666666666667 25.8833333333333 2231174.52068639
Indianapolis 15307 Nam -87.7333333333334 41.8749999999999 2850526.87225533
Columbus 15720 Nam -83.0583333333334 42.4416666666666 1163882.11303711
Cleveland 15720 Nam -83.0583333333334 42.4416666666666 1163882.11303711
